Complaint_text,Catagory
My bill shows zero consumption; that�s incorrect.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter stopped working; please replace.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a wrong unit rate; please fix.,Bill
My house wiring is causing lights to flicker; repair it.,Customer
Please grant my medical leave request.,Employee
My meter was damaged by lightning; replace it.,Meter
The pole is blocking my entrance; please move.,Supply
Can you apply a budget-friendly tariff?,Customer
My bill includes a tax I�m exempt from; remove it.,Bill
Please fix my prepaid meter; it�s not functioning.,Pre-paid
Please shift my meter to the front yard.,EEU Service
The bill shows a meter I don�t have; correct it.,Bill
My internal wiring is faulty; please repair.,Customer
Please process my annual leave application.,Employee
My meter board caught fire; please fix it.,Meter
Please repair the cracked pole in my street.,Supply
I need a tariff for my new apartment; please apply.,Customer
My bill is based on an estimated reading; verify it.,Bill
Please reduce my load; I sold my machines.,Miscellaneous
My prepaid card code is unreadable; replace it.,Pre-paid
Please reconnect my electricity; I paid my bill.,EEU Service
The bill shows a wrong tariff code; please update.,Bill
My house wiring is causing power drops; fix it.,Customer
Please approve my allowance as an employee.,Employee
My meter is not recording usage; please repair.,Meter
The pole is damaged; please replace it.,Supply
Can you change my tariff to a prepaid plan?,Customer
My bill has a balance I already paid; correct it.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please move my meter to the main gate.,EEU Service
The bill is for a property I don�t own; fix it.,Bill
My internal wiring is causing shocks; please fix.,Customer
Please grant my annual leave request.,Employee
My meter was burnt by your surge; replace it.,Meter
Please fix the leaning pole in my street.,Supply
I need a tariff with fixed rates; please update.,Customer
My bill shows a high reading; please verify.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter is damaged; please replace it.,Pre-paid
Please restore my power; it was cut wrongly.,EEU Service
The bill has an incorrect name; please update.,Bill
My house wiring is sparking; please repair urgently.,Customer
Please process my medical leave application.,Employee
My meter board is charred; please replace it.,Meter
The pole is unsafe in my area; please fix.,Supply
Can you apply a tariff for my vacation home?,Customer
My bill shows a credit I didn�t earn; fix it.,Bill
Please fix my prepaid meter; it won�t accept cards.,Pre-paid
Please relocate my meter to the new building.,EEU Service
The bill is charging me for an old meter; correct.,Bill
My internal wiring is causing breaker issues; fix.,Customer
Please approve my annual leave as an employee.,Employee
My meter is giving false readings; please check.,Meter
Please replace the damaged pole in my street.,Supply
I need a tariff for my home-based business.,Customer
My bill shows an incorrect cycle; please fix.,Bill
Please reduce my load; I use less electricity.,Miscellaneous
My prepaid card was misplaced; please replace.,Pre-paid
Please reconnect my power; I paid my dues.,EEU Service
The bill has a wrong address; please update.,Bill
My house wiring is causing fluctuations; repair it.,Customer
Please grant my allowance application.,Employee
My meter stopped after a storm; please replace.,Meter
The pole is cracked; please repair it.,Supply
Can you switch my tariff to a low-cost plan?,Customer
My bill includes duplicate charges; please refund.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please shift my meter to a better spot.,EEU Service
The bill shows a tariff I didn�t choose; fix it.,Bill
My internal wiring is outdated; please repair.,Customer
Please process my annual leave request.,Employee
My meter board was damaged by fire; replace it.,Meter
Please fix the broken pole in my area.,Supply
I need a tariff for my single-phase connection.,Customer
My bill is missing my recent payment; update it.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter is faulty; please fix it.,Pre-paid
Please restore my electricity; I paid on time.,EEU Service
The bill shows a high rate; please adjust.,Bill
My house wiring is causing power issues; fix it.,Customer
Please approve my medical leave request.,Employee
My meter is not working; please send a technician.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff with no peak charges?,Customer
My bill has an error in the unit price; fix it.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different meter; please correct.,Bill
My internal wiring is causing outages; repair it.,Customer
Please grant my annual leave application.,Employee
My meter board caught fire; please replace it.,Meter
Please repair the damaged pole in my street.,Supply
I need a tariff for my new office; please update.,Customer
My bill shows a negative balance; correct it.,Bill
Please reduce my load; I�m downsizing.,Miscellaneous
My prepaid card code is damaged; replace it.,Pre-paid
Please reconnect my power; it was cut by mistake.,EEU Service
The bill has a wrong billing date; please fix.,Bill
My house wiring is sparking; please fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is showing high readings; please test.,Meter
The pole is unsafe; please repair it.,Supply
Can you change my tariff to a business plan?,Customer
My bill includes a fee I didn�t agree to; remove.,Bill
Please fix my prepaid meter; it�s broken.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill shows a wrong tariff rate; please update.,Bill
My internal wiring is causing power drops; fix.,Customer
Please approve my annual leave request.,Employee
My meter was burnt; please replace it.,Meter
Please fix the cracked pole in my area.,Supply
I need a tariff for my low-energy home.,Customer
My bill is based on a faulty reading; correct it.,Bill
I want a lower load for my small business.,Miscellaneous
My prepaid meter won�t accept cards; fix it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has an incorrect amount; please fix.,Bill
My house wiring is causing shocks; please repair.,Customer
Please grant my medical leave application.,Employee
My meter board is burnt; please fix it.,Meter
The pole is damaged; please replace it.,Supply
Can you apply a tariff for my new rental?,Customer
My bill shows a high usage; please verify.,Bill
Please replace my faulty prepaid meter.,Pre-paid
Please shift my meter to the new building.,EEU Service
The bill is for a different property; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please process my annual leave as an employee.,Employee
My meter is not recording; please repair it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff with no extra charges.,Customer
My bill has a wrong meter reading; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was lost; please issue a new one.,Pre-paid
Please reconnect my electricity; I paid.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is causing breaker issues; repair.,Customer
Please approve my allowance request.,Employee
My meter stopped working; please replace it.,Meter
The pole is cracked; please fix it.,Supply
Can you switch my tariff to a residential rate?,Customer
My bill includes a surcharge; please remove it.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
The bill has a wrong name; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please grant my annual leave application.,Employee
My meter board was damaged; please replace it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my small shop; apply it.,Customer
My bill shows an incorrect balance; fix it.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing outages; fix it.,Customer
Please process my medical leave request.,Employee
My meter is giving wrong readings; please check.,Meter
The pole is unsafe; please replace it.,Supply
Can you apply a low-cost tariff for my home?,Customer
My bill shows a negative amount; correct it.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please move my meter to a better spot.,EEU Service
The bill is for a wrong meter; please fix.,Bill
My internal wiring is causing power issues; repair.,Customer
Please approve my annual leave as a staff member.,Employee
My meter board caught fire; please fix it.,Meter
Please repair the broken pole in my street.,Supply
I need a tariff for my new business; update.,Customer
My bill has a wrong reading; please verify.,Bill
Please reduce my load; I�m using less electricity.,Miscellaneous
My prepaid card code is unreadable; replace it.,Pre-paid
Please reconnect my power; it was cut wrongly.,EEU Service
The bill shows a high rate; please correct.,Bill
My house wiring is sparking; please fix it.,Customer
Please grant my allowance application.,Employee
My meter is not functioning; please replace it.,Meter
The pole is leaning; please repair it.,Supply
Can you change my tariff to a prepaid rate?,Customer
My bill includes a tax I don�t owe; remove it.,Bill
Please fix my prepaid meter; it�s faulty.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has an incorrect tariff; please fix.,Bill
My internal wiring is causing shocks; please repair.,Customer
Please process my annual leave request.,Employee
My meter board is burnt; please replace it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my apartment; apply it.,Customer
My bill shows a wrong usage; please correct.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my electricity; I paid my bill.,EEU Service
The bill has a wrong billing period; fix it.,Bill
My house wiring is causing power drops; repair it.,Customer
Please approve my medical leave application.,Employee
My meter is giving high readings; please test.,Meter
The pole is cracked; please replace it.,Supply
Can you apply a tariff for my new home?,Customer
My bill shows a high reading; please verify.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different account; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please grant my annual leave as an employee.,Employee
My meter board was damaged by fire; replace it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff for my small business; update.,Customer
My bill has a wrong meter number; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was stolen; please replace.,Pre-paid
Please reconnect my power; I paid on time.,EEU Service
The bill shows a negative balance; correct it.,Bill
My house wiring is causing outages; repair it.,Customer
Please process my allowance as an employee.,Employee
My meter stopped after a surge; please replace.,Meter
The pole is unsafe; please fix it.,Supply
Can you switch my tariff to a low-cost plan?,Customer
My bill includes a surcharge; please remove.,Bill
Please replace my burnt prepaid meter.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill has a wrong tariff rate; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please approve my annual leave request.,Employee
My meter board caught fire; please fix it.,Meter
Please fix the damaged pole in my street.,Supply
I need a tariff for my new rental; apply it.,Customer
My bill shows a high usage; please verify.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my medical leave request.,Employee
My meter is not recording; please repair it.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff with no extra fees?,Customer
My bill shows a wrong reading; please correct.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please shift my meter to the new building.,EEU Service
The bill is for a wrong meter; please fix.,Bill
My internal wiring is causing power issues; repair.,Customer
Please process my annual leave as a staff member.,Employee
My meter board was burnt; please replace it.,Meter
Please repair the cracked pole in my area.,Supply
I need a tariff for my home-based business.,Customer
My bill has an incorrect balance; fix it.,Bill
Please reduce my load; I�m downsizing.,Miscellaneous
My prepaid card code is damaged; replace it.,Pre-paid
Please reconnect my electricity; I paid.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is sparking; please fix it.,Customer
Please approve my allowance application.,Employee
My meter is giving wrong readings; please check.,Meter
The pole is damaged; please replace it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a fee I didn�t agree to; remove.,Bill
Please fix my prepaid meter; it�s broken.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
The bill has a wrong name; please update.,Bill
My internal wiring is causing outages; repair it.,Customer
Please grant my annual leave application.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my small shop; apply it.,Customer
My bill shows a negative amount; correct it.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing power drops; repair it.,Customer
Please process my medical leave request.,Employee
My meter is not functioning; please replace it.,Meter
The pole is unsafe; please repair it.,Supply
Can you apply a low-cost tariff for my home?,Customer
My bill shows a high reading; please verify.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please move my meter to a better spot.,EEU Service
The bill is for a different account; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please approve my annual leave as an employee.,Employee
My meter board was damaged; please replace it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff for my new business; update.,Customer
My bill has a wrong meter reading; fix it.,Bill
Please reduce my load; I use less electricity.,Miscellaneous
My prepaid card was lost; please issue a new one.,Pre-paid
Please reconnect my power; I paid my bill.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my allowance application.,Employee
My meter stopped after a surge; please replace.,Meter
The pole is cracked; please fix it.,Supply
Can you switch my tariff to a prepaid rate?,Customer
My bill includes a surcharge; please remove it.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has an incorrect tariff; please fix.,Bill
My internal wiring is sparking; please repair.,Customer
Please process my annual leave request.,Employee
My meter board caught fire; please fix it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my apartment; apply it.,Customer
My bill shows a wrong usage; please correct.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my electricity; I paid my bill.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing outages; repair it.,Customer
Please approve my medical leave application.,Employee
My meter is giving high readings; please test.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff for my new home?,Customer
My bill shows a high reading; please verify.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different property; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please grant my annual leave as an employee.,Employee
My meter board was damaged by fire; replace it.,Meter
Please repair the cracked pole in my street.,Supply
I need a tariff for my small business; update.,Customer
My bill has a wrong meter number; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was stolen; please replace.,Pre-paid
Please reconnect my power; I paid on time.,EEU Service
The bill shows a negative balance; correct it.,Bill
My house wiring is causing power issues; repair.,Customer
Please process my allowance as an employee.,Employee
My meter stopped after a storm; please replace.,Meter
The pole is unsafe; please fix it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a tax I don�t owe; remove it.,Bill
Please replace my burnt prepaid meter.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill has a wrong tariff rate; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please approve my annual leave request.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my new rental; apply it.,Customer
My bill shows a high usage; please verify.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my medical leave request.,Employee
My meter is not recording; please repair it.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff with no extra fees?,Customer
My bill shows a wrong reading; please correct.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please shift my meter to the new building.,EEU Service
The bill is for a wrong meter; please fix.,Bill
My internal wiring is causing power issues; repair.,Customer
Please process my annual leave as a staff member.,Employee
My meter board was burnt; please replace it.,Meter
Please repair the cracked pole in my area.,Supply
I need a tariff for my home-based business.,Customer
My bill has an incorrect balance; fix it.,Bill
Please reduce my load; I�m downsizing.,Miscellaneous
My prepaid card code is damaged; replace it.,Pre-paid
Please reconnect my electricity; I paid.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is sparking; please fix it.,Customer
Please approve my allowance application.,Employee
My meter is giving wrong readings; please check.,Meter
The pole is damaged; please replace it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a fee I didn�t agree to; remove.,Bill
Please fix my prepaid meter; it�s broken.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
The bill has a wrong name; please update.,Bill
My internal wiring is causing outages; repair it.,Customer
Please grant my annual leave application.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my small shop; apply it.,Customer
My bill shows a negative amount; correct it.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing power drops; repair it.,Customer
Please process my medical leave request.,Employee
My meter is not functioning; please replace it.,Meter
The pole is unsafe; please repair it.,Supply
Can you apply a low-cost tariff for my home?,Customer
My bill shows a high reading; please verify.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please move my meter to a better spot.,EEU Service
The bill is for a different account; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please approve my annual leave as an employee.,Employee
My meter board was damaged; please replace it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff for my new business; update.,Customer
My bill has a wrong meter reading; fix it.,Bill
Please reduce my load; I use less electricity.,Miscellaneous
My prepaid card was lost; please issue a new one.,Pre-paid
Please reconnect my power; I paid my bill.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my allowance application.,Employee
My meter stopped after a surge; please replace.,Meter
The pole is cracked; please fix it.,Supply
Can you switch my tariff to a prepaid rate?,Customer
My bill includes a surcharge; please remove it.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has an incorrect tariff; please fix.,Bill
My internal wiring is sparking; please repair.,Customer
Please process my annual leave request.,Employee
My meter board caught fire; please fix it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my apartment; apply it.,Customer
My bill shows a wrong usage; please correct.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my electricity; I paid my bill.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing outages; repair it.,Customer
Please approve my medical leave application.,Employee
My meter is giving high readings; please test.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff for my new home?,Customer
My bill shows a high reading; please verify.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different property; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please grant my annual leave as an employee.,Employee
My meter board was damaged by fire; replace it.,Meter
Please repair the cracked pole in my street.,Supply
I need a tariff for my small business; update.,Customer
My bill has a wrong meter number; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was stolen; please replace.,Pre-paid
Please reconnect my power; I paid on time.,EEU Service
The bill shows a negative balance; correct it.,Bill
My house wiring is causing power issues; repair.,Customer
Please process my allowance as an employee.,Employee
My meter stopped after a storm; please replace.,Meter
The pole is unsafe; please fix it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a tax I don�t owe; remove it.,Bill
Please replace my burnt prepaid meter.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill has a wrong tariff rate; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please approve my annual leave request.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my new rental; apply it.,Customer
My bill shows a high usage; please verify.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my medical leave request.,Employee
My meter is not recording; please repair it.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff with no extra fees?,Customer
My bill shows a wrong reading; please correct.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please shift my meter to the new building.,EEU Service
The bill is for a wrong meter; please fix.,Bill
My internal wiring is causing power issues; repair.,Customer
Please process my annual leave as a staff member.,Employee
My meter board was burnt; please replace it.,Meter
Please repair the cracked pole in my area.,Supply
I need a tariff for my home-based business.,Customer
My bill has an incorrect balance; fix it.,Bill
Please reduce my load; I�m downsizing.,Miscellaneous
My prepaid card code is damaged; replace it.,Pre-paid
Please reconnect my electricity; I paid.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is sparking; please fix it.,Customer
Please approve my allowance application.,Employee
My meter is giving wrong readings; please check.,Meter
The pole is damaged; please replace it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a fee I didn�t agree to; remove.,Bill
Please fix my prepaid meter; it�s broken.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
The bill has a wrong name; please update.,Bill
My internal wiring is causing outages; repair it.,Customer
Please grant my annual leave application.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my small shop; apply it.,Customer
My bill shows a negative amount; correct it.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing power drops; repair it.,Customer
Please process my medical leave request.,Employee
My meter is not functioning; please replace it.,Meter
The pole is unsafe; please repair it.,Supply
Can you apply a low-cost tariff for my home?,Customer
My bill shows a high reading; please verify.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please move my meter to a better spot.,EEU Service
The bill is for a different account; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please approve my annual leave as an employee.,Employee
My meter board was damaged; please replace it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff for my new business; update.,Customer
My bill has a wrong meter reading; fix it.,Bill
Please reduce my load; I use less electricity.,Miscellaneous
My prepaid card was lost; please issue a new one.,Pre-paid
Please reconnect my power; I paid my bill.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my allowance application.,Employee
My meter stopped after a surge; please replace.,Meter
The pole is cracked; please fix it.,Supply
Can you switch my tariff to a prepaid rate?,Customer
My bill includes a surcharge; please remove it.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has an incorrect tariff; please fix.,Bill
My internal wiring is sparking; please repair.,Customer
Please process my annual leave request.,Employee
My meter board caught fire; please fix it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my apartment; apply it.,Customer
My bill shows a wrong usage; please correct.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my electricity; I paid my bill.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing outages; repair it.,Customer
Please approve my medical leave application.,Employee
My meter is giving high readings; please test.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff for my new home?,Customer
My bill shows a high reading; please verify.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different property; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please grant my annual leave as an employee.,Employee
My meter board was damaged by fire; replace it.,Meter
Please repair the cracked pole in my street.,Supply
I need a tariff for my small business; update.,Customer
My bill has a wrong meter number; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was stolen; please replace.,Pre-paid
Please reconnect my power; I paid on time.,EEU Service
The bill shows a negative balance; correct it.,Bill
My house wiring is causing power issues; repair.,Customer
Please process my allowance as an employee.,Employee
My meter stopped after a storm; please replace.,Meter
The pole is unsafe; please fix it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a tax I don�t owe; remove it.,Bill
Please replace my burnt prepaid meter.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill has a wrong tariff rate; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please approve my annual leave request.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my new rental; apply it.,Customer
My bill shows a high usage; please verify.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my medical leave request.,Employee
My meter is not recording; please repair it.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff with no extra fees?,Customer
My bill shows a wrong reading; please correct.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please shift my meter to the new building.,EEU Service
The bill is for a wrong meter; please fix.,Bill
My internal wiring is causing power issues; repair.,Customer
Please process my annual leave as a staff member.,Employee
My meter board was burnt; please replace it.,Meter
Please repair the cracked pole in my area.,Supply
I need a tariff for my home-based business.,Customer
My bill has an incorrect balance; fix it.,Bill
Please reduce my load; I�m downsizing.,Miscellaneous
My prepaid card code is damaged; replace it.,Pre-paid
Please reconnect my electricity; I paid.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is sparking; please fix it.,Customer
Please approve my allowance application.,Employee
My meter is giving wrong readings; please check.,Meter
The pole is damaged; please replace it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a fee I didn�t agree to; remove.,Bill
Please fix my prepaid meter; it�s broken.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
The bill has a wrong name; please update.,Bill
My internal wiring is causing outages; repair it.,Customer
Please grant my annual leave application.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my small shop; apply it.,Customer
My bill shows a negative amount; correct it.,Bill
I want a lower load for my home.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid on time.,EEU Service
The bill has a high rate; please adjust.,Bill
My house wiring is causing power drops; repair it.,Customer
Please process my medical leave request.,Employee
My meter is not functioning; please replace it.,Meter
The pole is unsafe; please repair it.,Supply
Can you apply a low-cost tariff for my home?,Customer
My bill shows a high reading; please verify.,Bill
Please replace my damaged prepaid meter.,Pre-paid
Please move my meter to a better spot.,EEU Service
The bill is for a different account; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please approve my annual leave as an employee.,Employee
My meter board was damaged; please replace it.,Meter
Please repair the leaning pole in my street.,Supply
I need a tariff for my new business; update.,Customer
My bill has a wrong meter reading; fix it.,Bill
Please reduce my load; I use less electricity.,Miscellaneous
My prepaid card was lost; please issue a new one.,Pre-paid
Please reconnect my power; I paid my bill.,EEU Service
The bill shows a tariff error; please correct.,Bill
My house wiring is causing shocks; repair it.,Customer
Please grant my allowance application.,Employee
My meter stopped after a surge; please replace.,Meter
The pole is cracked; please fix it.,Supply
Can you switch my tariff to a prepaid rate?,Customer
My bill includes a surcharge; please remove it.,Bill
Please repair my burnt prepaid meter.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has an incorrect tariff; please fix.,Bill
My internal wiring is sparking; please repair.,Customer
Please process my annual leave request.,Employee
My meter board caught fire; please fix it.,Meter
Please fix the damaged pole in my area.,Supply
I need a tariff for my apartment; apply it.,Customer
My bill shows a wrong usage; please correct.,Bill
I want a lower load for my small shop.,Miscellaneous
My prepaid meter is broken; please fix it.,Pre-paid
Please restore my electricity; I paid my bill.,EEU Service
The bill has a high tariff; please adjust.,Bill
My house wiring is causing outages; repair it.,Customer
Please approve my medical leave application.,Employee
My meter is giving high readings; please test.,Meter
The pole is leaning; please replace it.,Supply
Can you apply a tariff for my new home?,Customer
My bill shows a high reading; please verify.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to the front entrance.,EEU Service
The bill is for a different property; correct it.,Bill
My internal wiring is faulty; please fix it.,Customer
Please grant my annual leave as an employee.,Employee
My meter board was damaged by fire; replace it.,Meter
Please repair the cracked pole in my street.,Supply
I need a tariff for my small business; update.,Customer
My bill has a wrong meter number; fix it.,Bill
Please reduce my load; I use less power.,Miscellaneous
My prepaid card was stolen; please replace.,Pre-paid
Please reconnect my power; I paid on time.,EEU Service
The bill shows a negative balance; correct it.,Bill
My house wiring is causing power issues; repair.,Customer
Please process my allowance as an employee.,Employee
My meter stopped after a storm; please replace.,Meter
The pole is unsafe; please fix it.,Supply
Can you change my tariff to a residential plan?,Customer
My bill includes a tax I don�t owe; remove it.,Bill
Please replace my burnt prepaid meter.,Pre-paid
Please move my meter to a safer location.,EEU Service
The bill has a wrong tariff rate; please update.,Bill
My internal wiring is sparking; please repair.,Customer
Please approve my annual leave request.,Employee
My meter board caught fire; please replace it.,Meter
Please fix the broken pole in my street.,Supply
I need a tariff for my new rental; apply it.,Customer
My bill shows a high usage; please verify.,Bill
I want a lower load for my apartment.,Miscellaneous
My prepaid meter stopped working; replace it.,Pre-paid
Please restore my power; I paid my bill.,EEU Service
The bill has a high rate; please adjust.,Bill
